Shape code,month code,TOTAL_SF
5,13,10.65
5,13,10.65
5,13,10.65
5,13,0.65
5,13,0.65
10,13,1022.4
10,13,1022.4
10,13,1022.4
10,13,191.7
10,13,21.3
10,13,1.94
10,13,1.94
15,13,2087.04
1,13,50.34
1,13,32.91
1,13,30.01
1,13,20.33
6,13,86.92
6,13,2.58
6,13,2.58
3,13,351.36
3,13,351.36
3,13,351.36
8,13,42.23
4,13,0.98
4,13,0.98
13,2,3469.76
13,2,3469.76
13,2,3469.76
13,2,1874.29
13,2,1796.84
9,2,3578.4
9,2,3578.4
9,2,3578.4
13,14,19347.01
13,14,7187.36
13,14,5406.01
13,14,3469.76
13,14,3345.84
13,14,3005.06
13,14,2741.73
13,14,1781.35
13,14,1672.92
13,14,1487.04
13,14,1239.2
13,14,1006.85
13,14,604.11
13,14,526.66
13,14,526.66
13,14,495.68
13,14,325.29
13,14,278.82
13,14,263.33
13,14,247.84
13,14,232.35
13,14,154.9
13,14,77.45
13,14,30.98
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
13,14,15.49
16,14,3020.94
18,14,814.06
18,14,39.39
17,14,1750.37
17,14,666.07
17,14,650.58
17,14,387.25
17,14,325.29
17,14,170.39
17,14,92.94
17,14,77.45
17,14,46.47
9,14,607.05
12,14,11.62
14,14,1810.16
14,14,212.96
5,14,687.73
5,14,74.87
5,14,65.52
5,14,43.57
5,14,42.6
5,14,29.05
5,14,26.79
5,14,21.3
5,14,21.3
5,14,12.91
5,14,11.3
5,14,11.3
10,14,607.05
10,14,362.1
10,14,127.8
10,14,42.6
10,14,42.6
15,14,706.55
1,14,60.99
1,14,34.85
1,14,27.11
1,14,5.81
1,14,0.97
6,14,13.77
6,14,13.77
6,14,13.77
6,14,13.77
6,14,13.77
6,14,13.77
6,14,13.77
6,14,13.77
6,14,13.77
3,14,53.53
7,14,67.5
7,14,1
8,14,18.81
13,3,325.29
13,3,325.29
13,3,325.29
13,3,278.82
13,3,278.82
13,3,278.82
13,3,216.86
13,3,216.86
13,3,216.86
13,3,216.86
13,3,216.86
13,3,216.86
13,3,216.86
13,3,216.86
13,3,216.86
13,3,201.37
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,185.88
13,3,108.43
13,3,108.43
13,3,108.43
13,3,108.43
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
13,3,92.94
16,3,116.19
16,3,116.19
16,3,116.19
16,3,116.19
16,3,103.28
9,3,0
9,3,0
9,3,0
12,3,81.34
14,3,19.36
14,3,19.36
14,3,19.36
14,3,19.36
14,3,19.36
15,3,152.18
1,3,0.97
3,3,1.37
3,3,1.37
13,15,17519.19
13,15,10409.28
13,15,8364.6
13,15,4863.86
13,15,2478.4
13,15,2230.56
13,15,1982.72
13,15,1579.98
13,15,1502.53
13,15,1487.04
13,15,1487.04
13,15,1332.14
13,15,1332.14
13,15,1285.67
13,15,1239.2
13,15,1022.34
13,15,991.36
13,15,991.36
13,15,991.36
13,15,851.95
13,15,681.56
13,15,495.68
13,15,433.72
13,15,325.29
13,15,201.37
13,15,61.96
13,15,46.47
16,15,309.84
18,15,1562.47
17,15,5948.16
17,15,1533.51
17,15,1285.67
17,15,1254.69
17,15,1239.2
17,15,139.41
17,15,46.47
17,15,30.98
17,15,15.49
17,15,15.49
14,15,900.24
5,15,2247.82
5,15,95.21
5,15,52.6
5,15,45.5
5,15,45.18
5,15,43.57
5,15,37.44
5,15,29.05
5,15,25.17
5,15,19.04
5,15,18.72
5,15,16.14
5,15,14.2
5,15,10.65
5,15,1.61
10,15,2236.5
10,15,149.1
10,15,63.9
1,15,66.81
1,15,34.85
1,15,19.36
1,15,16.46
6,15,82.62
6,15,72.29
3,15,19.22
7,15,65
7,15,50
8,15,18.36
13,4,325.29
13,4,247.84
13,4,201.37
13,4,170.39
13,4,170.39
13,4,139.41
13,4,123.92
13,4,108.43
