Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"12""x24""",13,AC03-Greige,72017,1.89,15.49
"12""x24""",13,MA04-Marfil,102016,0.79,15.49
"12""x24""",13,NB13-Toffee,12017,1.49,15.49
"12""x24""",13,NB13-Toffee,92016,0.7,15.49
"12""x24""",13,NB51-Avorio,22017,1.24,15.49
"12""x24""",13,NB51-Avorio,72017,2.19,15.49
"12""x24""",13,NB56-Grigio,32017,1.24,15.49
"12""x24""",13,NB56-Grigio,72017,2.19,15.49
"12""x24""",13,NB57-Tobacco,32017,1.24,15.49
"12""x24""",13,NB57-Tobacco,72017,2.19,15.49
"12""x24""",13,NB57-Tobacco,92016,1.05,15.49
"12""x24""",13,NB57-Tobacco,102016,1.05,15.49
"12""x24""",13,MA06-Bardigio,102016,1.69,15.49
"12""x24""",13,NB54-Ash Gray,32017,1.24,15.49
"12""x24""",13,AE04-Dark Gray,42017,1.79,15.49
"12""x24""",13,CR02-Blue Gray,12017,0.85,15.49
"12""x24""",13,CR02-Blue Gray,72017,1.79,15.49
"12""x24""",13,NB04-Dark Gray,72017,1.49,15.49
"12""x24""",13,NB12-Dark Gray,72017,1.49,15.49
"12""x24""",13,NB12-Dark Gray,92016,0.7,15.49
"12""x24""",13,TS03-Dark Gray,92016,0.6,15.49
"12""x24""",13,TS03-Dark Gray,102016,0.59,15.49
"12""x24""",13,TS03-Dark Gray,112016,0.6,15.49
"12""x24""",13,NB03-Gray,72017,1.49,15.49
"12""x24""",13,NB03-Gray,102016,0.7,15.49
"12""x24""",13,NB11-Gray,12017,0.7,15.49
"12""x24""",13,NB11-Gray,72017,1.49,15.49
"12""x24""",13,NB11-Gray,92016,0.7,15.49
"12""x24""",13,NB55-Blue,32017,1.24,15.49
"12""x24""",13,NB55-Blue,72017,2.19,15.49
"12""x24""",13,NB58-Nero,92016,1.05,15.49
"12""x24""",13,NB58-Nero,102016,1.05,15.49
"12""x24""",13,TM03-Noce,72017,1.19,15.49
"24""x24""",17,FB03-Taupe,82017,1.99,15.49
