"Series","Shape","Color","TOTAL_SF"
"Arcadia","4""x12""","AC03-Greige","177.5"
"NO.9","6""x12""","NB14-Black","174.5"
"Time","4""x12""","TM01-Beige","174.27"
"Fabric Folio","4""x12""","FB02-Silver","170.73"
"Mars Stone","2""x2""","MS05-Dark Gray","167.51"
"Arcadia","4""x12""","AC01-Taupe","166.52"
"NO.12","6""x12""","NB56-Grigio","162.5"
"Mars Stone","2""x2""","MS02-Ivory","159.76"
"NO.12","4""x12""","NB50-Super White","158.79"
"NO.12","2""x2""","NB51-Avorio","157.83"
"Mars Stone","Random Linear","MS01-White","157.83"
"NO.9","8""x48""","NB14-Black","154.92"
"Time","4""x12""","TM03-Noce","153.94"
"Arcadia","4""x12""","AC02-Light Gray","152.66"
"Arcadia","6""x12""","AC03-Greige","151.5"
"NO.12","2""x2""","NB59-Super Black","149.12"
"NO.12","6""x24""","NB58-Nero","149.1"
"NO.12","Random Linear","NB51-Avorio","148.11"
"Mars Stone","2""x2""","MS04-Toffee","142.33"
"NO.5","6""x12""","NB02-Beige","132.5"
"Carrington","Waterjet Mosaic","CR02-Blue Gray","126.82"
"Mars Stone","Random Linear","MS05-Dark Gray","120.08"
"NO.12","4""x12""","NB52-Beige","117.47"
"Decorative Elements","6""x24""","DE13-Gray","106.52"
"NO.12","6""x12""","NB52-Beige","103"
"NO.5","6""x12""","NB01-Ivory","102"
"NO.9","4""x12""","NB10-Ivory","101.65"
"NO.5","6""x12""","NB04-Dark Gray","100"
"NO.12","Random Linear","NB50-Super White","99.29"
"Carrington","Waterjet Mosaic","CR01-Ivory Blend","95.42"
"Mars Stone","6""x12""","MS01-White","93"
"Mars Stone","Random Linear","MS06-Black","91.02"
"NO.12","4""x12""","NB59-Super Black","90.68"
"NO.9","Random Linear","NB14-Black","89.52"
"Mars Stone","6""x12""","MS05-Dark Gray","89"
"Fabric Folio","4""x12""","FB04-Black","88.75"
"Carrington","Waterjet Mosaic","CR03-Brown Blend","88.18"
"NO.5","4""x12""","NB01-Ivory","87.46"
"NO.12","4""x12""","NB51-Avorio","86.49"
"NO.5","24""x24""","NB02-Beige","77.45"
"Mars Stone","3""x6""","MS06-Black","76.85"
"NO.12","2""x2""","NB55-Blue","75.52"
"Mars Stone","6""x12""","MS04-Toffee","75.5"
